trade_id,signal_type,is_long,is_trend,signal_bar,signal_ts,entry_bar,entry_ts,entry_price,sl,tp,stop_dist,atr_at_entry,exit_bar,exit_ts,exit_price,exit_reason,trail_stage,bars_held,real_pl
1,Trend Long,True,True,203,1752413400000,204,1752415200000,118610.0,118467.4461835205,119180.21526591797,142.55381647949275,237.58969413248792,204,1752415200000,118467.4461835205,SL,0,0,-6.661340943823493
2,Range Short,False,False,338,1752656400000,339,1752658200000,119141.43,119336.60314684798,118653.49713288002,195.17314684799064,390.3462936959813,340,1752660000000,119193.38,SL,1,1,-3.6801835950003845
3,Trend Long,True,True,357,1752690600000,358,1752692400000,119512.2,119170.0490835054,120880.8036659784,342.1509164945987,570.2515274909978,358,1752692400000,119170.0490835054,SL,0,0,-13.262931544321924
4,Range Short,False,False,410,1752786000000,411,1752787800000,120899.36,121190.68561465264,120171.0459633684,291.32561465264024,582.6512293052805,411,1752787800000,120171.0459633684,TP,0,0,22.039523768843047
5,Trend Short,False,True,516,1752976800000,517,1752978600000,117803.28,117947.99544042289,117224.41823830841,144.71544042289787,241.1924007048298,517,1752978600000,117947.99544042289,SL,0,0,-6.719363653955474
6,Range Short,False,False,540,1753020000000,541,1753021800000,118637.34,118761.69029403917,118326.46426490205,124.35029403917649,248.70058807835298,541,1753021800000,118761.69029403917,SL,0,0,-6.061075813292849
7,Trend Short,False,True,609,1753144200000,610,1753146000000,117123.68,117375.13717422585,116117.85130309654,251.4571742258628,419.095290376438,611,1753147800000,117240.22,SL,2,1,-5.7783607200002685
8,Trend Short,False,True,617,1753158600000,618,1753160400000,116555.01,116866.84350358015,115307.67598567938,311.8335035801538,519.722505966923,618,1753160400000,116866.84350358015,SL,0,0,-12.213663283145195
9,Trend Short,False,True,624,1753171200000,625,1753173000000,117707.52,118035.37639694322,116396.09441222715,327.8563969432128,546.427328238688,625,1753173000000,118035.37639694322,SL,0,0,-12.761435179126075
10,Trend Short,False,True,635,1753191000000,636,1753192800000,118147.83,118464.88218253326,116879.62126986696,317.05218253326126,528.4203042221021,636,1753192800000,118464.88218253326,SL,0,0,-12.412161218597396
